defect_id,aircraft_id,report_date,ata_chapter,component,defect_description,severity,aog_flag,delay_minutes,repeat_defect,rectification_hours,vendor,maintenance_action,part_id,status
DEF0017,AC007,2026-02-20,31 Indicating/Recording Systems,Brake Temperature Monitoring Unit,Brake temp channel 3 failed self-test,Low,false,12,false,0.8,Honeywell,Performed sensor channel test and reset monitoring computer,PN-3101,Deferred
DEF0138,AC002,2026-02-21,24 Electrical Power,Transformer Rectifier Unit,TRU output voltage unstable during electrical transfer,Medium,true,196,false,6.6,Safran,Carried out wiring continuity inspection and system reset,PN-2401,Closed
DEF0139,AC002,2026-02-22,24 Electrical Power,Transformer Rectifier Unit,DC bus fault associated with TRU 2,Medium,false,46,true,3.2,Safran,Inspected cooling path and repeated power transfer check,PN-2401,Open
DEF0084,AC004,2026-02-23,24 Electrical Power,Static Inverter,Inverter output frequency fluctuation observed during test,Medium,false,5,false,2.6,Thales,Secured inverter cannon plug and repeated electrical test,PN-2402,Deferred
DEF0016,AC009,2026-02-27,34 Navigation,IRS Cooling Fan,IRS bay cooling fan noise elevated during preflight,Medium,false,65,false,4.1,Collins,Cleaned fan intake and confirmed normal current draw,PN-3402,In Work
DEF0129,AC002,2026-03-01,34 Navigation,IRS Cooling Fan,Navigation cooling fan fail message recorded,Medium,false,61,false,6.9,Collins,Cleaned fan intake and confirmed normal current draw,PN-3402,Closed
DEF0130,AC002,2026-03-04,34 Navigation,IRS Cooling Fan,Navigation cooling fan fail message recorded,Medium,false,67,true,4.4,Collins,Replaced cooling fan and repeated avionics ventilation check,PN-3402,In Work
DEF0127,AC007,2026-03-05,29 Hydraulic Power,Hydraulic Reservoir Sensor,Reservoir low-level caution cleared after reset,Low,false,33,false,1.2,Parker,Inspected reservoir wiring and repeated indication check,PN-2901,Open
DEF0143,AC012,2026-03-05,49 APU,APU Fuel Control Unit,APU fuel scheduling fault recorded in maintenance pages,Medium,false,15,false,3.8,Honeywell,Performed fuel metering check and cleared recorded fault,PN-4902,In Work
DEF0159,AC009,2026-03-06,21 Air Conditioning,Cabin Pressure Controller,Cabin altitude control fluctuation reported by crew,High,false,103,false,5.7,Honeywell,Inspected connectors and swapped pressure controller unit,PN-2101,Open
DEF0117,AC004,2026-03-07,38 Water/Waste,Potable Water Pump,Water system low pressure report from cabin crew,Low,false,6,false,2.1,Safran,Cleaned filter and confirmed normal pump operation,PN-3801,In Work
DEF0158,AC003,2026-03-07,32 Landing Gear,Brake Control Unit,Anti-skid self-test failed after turnaround,High,false,67,false,5.9,Safran,Replaced brake control unit and carried out taxi check,PN-3201,Open
DEF0029,AC006,2026-03-08,49 APU,APU Fuel Control Unit,APU flame-out indication during ground start,Critical,true,275,false,6.7,Honeywell,Performed fuel metering check and cleared recorded fault,PN-4902,Open
DEF0157,AC011,2026-03-08,49 APU,APU Starter Controller,APU auto-start unsuccessful on turnaround,High,false,139,false,6.6,Honeywell,Reset controller logic and monitored start sequence,PN-4901,Open
DEF0069,AC007,2026-03-09,25 Equipment/Furnishings,IFE Seat Electronics Box,Multiple passenger IFE screens inoperative,Low,false,29,false,1.8,Panasonic,Performed IFE software reset and monitored for recurrence,PN-2501,Open
DEF0082,AC006,2026-03-09,24 Electrical Power,Transformer Rectifier Unit,Transformer rectifier overheat caution during taxi-out,High,false,31,false,4.9,Safran,Inspected cooling path and repeated power transfer check,PN-2401,In Work
DEF0156,AC008,2026-03-09,29 Hydraulic Power,Main Gear Hydraulic Line Kit,Hydraulic leak observed near main landing gear,Critical,true,186,false,26.5,Parker,Tightened B-nut connection and repeated leak inspection,PN-2902,Closed
DEF0142,AC012,2026-03-10,49 APU,APU Fuel Control Unit,APU flame-out indication during ground start,Medium,false,65,true,3.1,Honeywell,Performed fuel metering check and cleared recorded fault,PN-4902,In Work
DEF0155,AC004,2026-03-10,22 Auto Flight,Autopilot Flight Control Computer,AP1 engagement rejected following mode transition,Critical,true,285,false,7.7,Collins,Replaced AFCC and carried out autopilot functional test,PN-2201,Open
DEF0128,AC007,2026-03-12,29 Hydraulic Power,Hydraulic Reservoir Sensor,Hydraulic quantity indication fluctuating on taxi-in,High,false,96,true,5.9,Parker,Replaced reservoir sensor and serviced hydraulic system,PN-2901,Open
DEF0131,AC002,2026-03-12,34 Navigation,IRS Cooling Fan,Navigation cooling fan fail message recorded,Medium,false,5,true,4.8,Collins,Cleaned fan intake and confirmed normal current draw,PN-3402,Open
DEF0118,AC004,2026-03-15,38 Water/Waste,Potable Water Pump,Potable water pump cycling frequently during service,Medium,false,79,true,3.3,Safran,Cleaned filter and confirmed normal pump operation,PN-3801,In Work
